uid;iid;tag;rating1;rating2
61;11;bunt;2;2
61;11;beschwingt;3;3
61;12;unruhig;3;3
61;12;farbenfroh;2;2
61;12;bunt;3;2
61;12;durcheinander;3;3
61;12;nachdenklich;3;3
61;12;musikalisch;2;2
61;13;warm;3;3
61;13;ruhig;3;3
61;13;natürlich;2;2
61;13;allein;3;3
61;13;naturverbunden;2;3
61;13;nachdenklich;3;3
61;14;kalt;3;3
61;14;steril;2;2
61;14;kühl;3;3
61;14;verlassen;3;3
61;15;warm;3;3
61;15;abendlich;3;3
61;15;herbstlich;3;3
61;15;ruhig;3;3
61;15;regnerisch;3;3
61;15;nachdenklich;3;3
61;16;ruhig;3;3
61;16;friedlich;3;3
61;16;beschwingt;3;3
61;16;gelassen;3;3
61;16;naturbelassen;3;2
61;17;ruhig;3;3
61;17;gelassen;3;3
61;17;entspannt;3;3
61;17;verträumt;3;3
61;17;einsam;3;3
61;18;düster;3;3
61;18;bedrohlich;3;3
61;18;kontrolliert;1;1
61;18;ängstlich;3;3
81;1;ausgegelichen;3;3
81;1;gediegen;3;3
81;1;fröhlich;3;3
81;1;euphorisch;3;3
81;1;elektrisierend;3;3
81;1;spannend;3;3
81;1;aufgeregt;3;3
81;2;verletzend;3;3
81;2;traurig;3;3
81;2;Misanthrop;2;2
81;2;unglücklich;3;3
81;2;düster;3;3
81;2;geknickt;3;3
81;2;unwohl;3;3
81;2;hass;3;3
81;4;hoffnung;3;3
81;4;zuversicht;3;3
81;4;leben;3;3
81;4;glück;3;3
81;5;gediegen;3;3
81;5;verlässlich;3;3
81;5;beruhigend;3;3
81;5;dezent;2;2
81;5;achtbar;2;2
81;5;echt;3;3
81;5;leben;3;3
81;6;leben;2;2
81;6;zellteilung;2;2
81;6;entwicklung;2;2
81;7;tod;2;2
81;7;verlust;2;3
81;7;traurig;3;3
81;7;vermissen;3;3
81;8;angeschlagen;3;3
81;8;verwirrt;3;3
81;8;benutzt;1;3
81;8;unseriös;1;3
81;8;unbehaglich;3;3
81;8;angst;3;3
81;8;verschreckend;3;3
81;9;leben;3;3
81;9;friede;3;3
81;9;freude;3;3
81;10;traurig;3;3
81;10;düster;3;3
81;10;verlassen;3;3
81;10;schwach;3;3
81;10;zerstört;3;3
81;10;zaghaft;3;3
81;11;zuversicht;3;3
81;11;stabilität;2;2
81;12;handynummer?;1;1
81;12;traurig;3;3
81;12;verlassen;3;3
81;13;subtil;2;3
81;13;geheimnisvoll;3;3
81;13;larviert;2;3
81;13;hermetisch;2;3
81;13;undruchsichtig;2;3
81;13;unklar;2;2
81;14;berauschend;3;3
81;14;neugierig;3;3
81;14;spanned;3;3
81;15;hoffnung;3;3
81;15;chance;2;2
81;15;strebennachglück;1;1
81;15;aussicht;2;2
81;15;derwegistdasziel;1;1
81;16;euphorisierend;3;3
81;16;motivierend;3;3
81;17;sehnsucht;2;3
81;17;hoffnung;3;3
81;17;leben;3;3
81;18;neutral;3;2
81;18;objektiv;2;1
81;18;frei;3;3
81;18;gerecht;2;1
81;18;unbeeinflusst;3;2
81;18;sachlich;2;2
151;1;asd;1;1
161;1;test;1;1
181;1;ekel;3;3
181;1;unwohl;3;3
181;1;unruhig;3;3
181;2;melancholisch;3;3
181;2;traurig;3;3
181;2;verträumt;3;3
181;2;ruhig;3;3
181;2;glücklich;3;3
181;4;romantisch;3;3
181;4;ruhig;3;3
181;4;entspanned;3;3
181;4;schön;3;3
181;4;verträumt;3;3
181;4;verliebt;3;3
181;5;einsam;3;3
181;5;naturverbunden;3;3
181;6;neugierig;3;3
181;6;eklig;2;2
181;6;inspirierend;3;3
181;6;nachdenklich;3;3
181;7;liebevoll;3;3
181;7;anregend;3;3
181;7;scharm;3;3
181;8;weiß;2;1
181;8;ich;1;1
181;8;nicht;1;1
181;9;traurig;3;3
181;9;melancholisch;3;3
181;9;düster;3;3
181;9;ruhig;3;3
181;9;einsam;3;3
181;11;einsam;3;3
181;11;kalt;3;3
181;11;unwohl;3;3
181;11;edüllisch;3;3
181;12;verrückt;3;2
181;12;traurig;3;3
181;12;gestört;3;3
181;13;einsam;3;3
181;13;verloren;3;3
181;13;verzweifelt;3;3
181;13;unwohl;3;3
181;15;ruhig;3;3
181;15;entspanned;3;3
181;15;romantisch;3;3
181;15;melancholisch;3;3
181;16;agressiv;3;3
181;16;gewaltsam;3;3
181;16;wütend;3;3
181;16;unrihig;3;3
181;16;impulsiv;3;3
181;17;schön;3;3
181;17;romantisch;3;3
181;17;liebevoll;3;3
181;17;entspannend;3;3
181;17;ruhig;3;3
181;18;ich;1;1
181;18;habe;1;1
181;18;keine;1;1
181;18;Ahnung;1;1
181;18;und;1;1
181;18;will;1;1
181;18;viele;1;1
181;18;Punkte;1;1
181;18;obwohl;1;1
181;18;nicht;1;1
181;18;weiß;1;1
181;18;was;1;1
181;18;zu;1;1
181;18;dem;1;1
181;18;Bild;1;1
181;18;sagen;1;1
181;18;ist;1;1
191;1;gemütlich;3;3
191;1;geräumig;2;2
191;2;nass;2;2
191;2;entspannt;3;3
191;2;romantisch;3;3
191;4;entspannt;3;3
191;4;zweisam;3;3
191;4;ruhig;3;3
191;4;isoliert;3;3
191;4;schläfrig;3;3
191;4;beruhigend;3;3
191;5;düster;3;3
191;5;unheimlich;2;3
191;5;angst-vorm-unbekannten;3;3
191;5;versteck;2;2
191;5;nebelig;3;3
191;6;lebendig;3;3
191;6;abwechslung;2;2
191;6;enge;3;2
191;6;dicht-an-dicht;1;1
191;6;kategorien;1;2
191;7;romantisch;3;3
191;7;ruhe;3;3
191;7;liebe;3;3
191;7;zweisamkeit;3;3
191;7;paar;2;2
191;7;warm;3;3
191;7;naturverbundenheit;3;3
191;8;noisy;1;1
191;8;verwirrend;3;3
191;8;verrauscht;2;3
191;8;unübersichtlich;2;2
191;8;regnerisch;3;3
191;9;zweisamkeit;3;3
191;9;romantisch;3;3
191;9;paar;2;2
191;9;gemütlich;3;3
191;10;romantisch;3;3
191;10;herbstlich;3;3
191;10;glücklich;3;3
191;10;zweisam;3;3
191;10;ruhig;3;3
191;11;kindisch;3;2
191;11;verspielt;3;3
191;11;unlogisch;2;2
191;11;unrealistisch;2;2
191;11;wiederholend;2;2
191;11;simpel;3;2
191;12;futuristisch;2;2
191;12;japanisch;2;2
191;12;schläfrig;3;3
191;12;farbenfroh;2;2
191;13;entspannt;3;3
191;13;warm;3;3
191;13;trocken;2;2
191;13;sandig;2;2
191;13;Schichten;2;2
191;14;unruhig;3;3
191;14;belebt;3;3
191;14;farblos;2;2
191;14;trist;3;3
191;14;hektisch;2;3
191;15;entspannt;3;3
191;15;nass;2;2
191;15;warm-und-kalt;3;3
191;15;determiniert;3;1
191;15;hilfreich;2;1
191;16;zwzeiseitig;2;2
191;16;blutig;1;2
191;16;romantisch;3;3
191;16;assymetrisch;2;2
191;17;verträumt;3;3
191;17;gemütlich;3;3
191;17;romantisch;3;3
191;17;utopisch;2;3
191;17;bilderhaft;2;3
191;17;nass;2;2
191;17;abenteuerlich;3;3
191;18;unübersichtlich;2;2
191;18;unverständlich;2;2
191;18;surreal;3;3
191;18;verwirrend;3;3
241;1;unruhig;3;3
241;1;verlassen;3;3
241;1;düster;3;3
241;1;chaotic;3;1
241;1;verwirrend;3;3
241;2;beruhigend;3;3
241;2;liebe;3;3
241;2;trist;3;3
241;2;comfort;1;1
241;4;beruhigend;3;3
241;4;angeregt;3;3
241;4;harmonisch;3;3
241;4;heiter;3;3
241;5;frei;3;3
241;5;energetisch;3;3
241;6;freude;3;3
241;6;kräftig;2;2
241;6;interesse;3;3
241;6;beruhigend;3;3
241;7;optimistisch;3;3
241;7;nah;2;3
241;7;geliebt;3;3
241;7;frei;3;3
241;8;trist;3;3
241;8;abstrakt;1;1
241;8;ruhig;3;3
241;8;sanft;3;3
241;9;harmonisch;3;3
241;9;herzlich;3;3
241;9;warm;3;3
241;9;einladend;3;3
241;9;liebevoll;3;3
241;10;frei;3;3
241;10;klar;3;3
241;10;warm;3;3
241;10;erfüllend;3;3
241;10;herzlich;3;3
241;10;lebhaft;3;3
241;11;angeregt;3;3
241;11;bedrückend;3;3
241;11;inspirierend;3;3
241;11;kraftvoll;3;3
241;11;meditativ;3;3
241;12;beruhigned;3;3
241;12;herzlich;3;3
241;12;faszienierd;3;3
241;12;inspierierend;3;3
241;12;schön;3;3
241;13;einsam;3;3
241;13;warm;3;3
241;13;beunruhigend;3;3
241;14;verwirrend;3;3
241;14;trist;3;3
241;14;karg;2;3
241;14;leer;2;2
241;15;trist;3;3
241;15;warm;3;3
241;15;einsam;3;3
241;15;beruhigend;3;3
241;16;angeregt;3;3
241;16;lebhaft;3;3
241;16;meditativ;2;3
241;17;angeregt;3;3
241;17;heiter;3;3
241;17;frei;3;3
241;17;harmonisch;3;3
241;17;lebhaft;3;3
241;18;offen;3;2
241;18;uneindeiutig;1;1
241;18;lebhaft;3;3
261;1;verwirrt;3;3
261;1;djungel;2;2
261;1;urwald;2;2
261;1;metropole;2;2
261;1;cyberpunk;1;2
261;2;gemälde;1;2
261;2;wasserfarben;2;2
261;2;regen;2;2
261;2;stadt;2;2
261;2;spaziergang;2;2
261;2;entspannend;3;3
261;2;romantisch;3;3
261;4;entspannend;3;3
261;4;heiter;3;3
261;4;beruhigend;3;3
261;4;liebevoll;3;3
261;4;sozial;3;3
261;4;fröhlich;3;3
261;5;gruselig;3;3
261;5;einsam;3;3
261;5;seltsam;3;3
261;5;feindlich;3;3
261;5;furchteinflössend;2;3
261;5;verlassen;3;3
261;6;grusleig;3;3
261;6;erschreckend;3;3
261;6;interessant;3;3
261;6;bedrückend;3;3
261;7;liebevoll;3;3
261;7;warmherzig;3;3
261;7;freundlich;3;3
261;7;enspannend;3;3
261;7;fürsorglich;3;3
261;7;still;3;3
261;7;besinnlich;3;3
261;7;sentimental;3;3
261;8;trüb;3;3
261;8;traurig;3;3
261;8;gruselig;3;3
261;8;einsam;3;3
261;8;kalt;3;3
261;9;entspannend;3;3
261;9;freundlich;3;3
261;9;liebevoll;3;3
261;9;heiter;3;3
261;9;ruhig;3;3
261;9;glücklich;3;3
261;10;entspannend;3;3
261;10;ruhig;3;3
261;10;still;3;3
261;10;fröhlich;3;3
261;10;sentimental;3;3
261;10;heiter;3;3
261;11;verwirrt;3;3
261;11;nervös;3;3
261;11;ruhig;3;3
261;11;gestresst;3;3
261;11;ärgerlich;3;3
261;11;aufgebracht;3;3
261;12;aufgeregt;3;3
261;12;einsam;3;3
261;12;heiter;3;3
261;13;gruselig;3;3
261;13;einsam;3;3
261;13;entspannend;3;3
261;13;erzürnt;3;3
261;13;gelangweilt;3;3
261;13;sprachlos;2;1
261;13;verwirrt;3;3
261;13;verwundert;3;3
261;13;unsicher;3;3
261;13;unzufrieden;3;3
261;13;hitzig;3;3
261;14;regen;2;2
261;14;still;3;3
261;14;einsam;3;3
261;14;trüb;3;3
261;14;schnee;2;2
261;14;hell;3;3
261;14;leise;2;3
261;14;Wald;1;2
261;14;lustlos;3;3
261;14;selstame;2;3
261;14;verwirrt;3;3
261;14;weich;2;2
261;14;poetisch;2;3
261;15;entspannend;3;3
261;15;einsam;3;3
261;15;froh;3;3
261;15;beruhigend;3;3
261;15;neugierig;3;3
261;15;fröhlich;3;3
261;16;fröhlich;3;3
261;16;entspannend;3;3
261;16;liebevoll;2;3
261;16;ruhig;3;3
261;16;nachdänklich;3;3
261;17;heiter;3;3
261;17;freundlich;3;3
261;17;entspannend;3;3
261;17;einsam;3;3
261;17;energielos;3;3
261;18;laut;2;3
261;18;aufregend;3;3
261;18;nervös;3;3
311;1;leuchtend;2;2
311;1;fröhlig;3;3
311;2;trist;3;3
311;2;idyllisch;3;3
311;2;traurig;3;3
311;2;langsam;2;3
311;2;verträumt;3;3
311;4;abendlich;3;3
311;4;entspannend;3;3
311;4;leise;3;2
311;4;bunt;2;2
311;4;sonnenuntergang;2;2
311;4;still;3;3
311;4;wasser;2;2
311;4;idyllisch;3;3
311;4;gemütlich;3;3
311;5;gespalten;3;2
311;5;dynamisch;3;3
311;5;traurig;3;3
311;5;optimistisch;3;3
311;6;abstrakt;1;1
311;6;biologisch;2;2
311;6;zellen;2;2
311;6;zellbildung;2;2
311;6;rund;2;2
311;6;zusammenhängend;2;2
311;6;grün;2;2
311;6;dynamisch;3;3
311;7;traurig;3;3
311;7;romantisch;3;3
311;7;grün;2;2
311;7;bunt;2;2
311;7;menschen;2;2
311;7;natur;2;2
311;7;wiese;2;2
311;7;müde;3;3
311;8;regen;2;2
311;8;dreckig;2;2
311;8;tropfen;2;2
311;8;fenster;2;2
311;8;entspannend;3;3
311;9;herbstlich;3;3
311;9;harmonisch;3;3
311;9;idyllisch;3;3
311;9;romantisch;3;3
311;9;bunt;3;2
311;9;einsam;3;3
311;9;geborgen;3;3
311;10;harmonisch;3;3
311;10;idyllisch;3;3
311;10;herbstlich;3;3
311;10;bunt;3;2
311;10;romantisch;3;3
311;10;einsam;3;3
311;10;abgeschattet;3;3
311;10;zeitlos;2;3
311;11;harmonisch;3;3
311;11;idylle;3;3
311;11;venedig;2;2
311;11;kontrastreich;2;2
311;11;dynamisch;3;3
311;11;langsam;3;3
311;11;klar;2;2
311;12;spaß;3;3
311;12;asiatisch;2;2
311;12;japanisch;2;2
311;12;kreativ;1;1
311;12;cool;3;3
311;12;bunt;3;2
311;12;weiblich;2;2
311;13;einfach;2;2
311;13;vielschichtig;2;2
311;13;mensch;2;2
311;13;schatten;2;2
311;13;bunt;2;2
311;13;farbverlauf;2;2
311;13;sonnenuntergang;2;2
311;13;abendlich;2;3
311;13;rötlich;2;2
311;13;romantisch;2;2
311;14;deprimierend;3;3
311;14;grau;2;2
311;14;traurig;3;3
311;14;langweilig;3;3
311;14;eintönig;3;3
311;14;asphalt;2;2
311;14;beton;2;2
311;15;abendlich;3;3
311;15;munter;3;3
311;15;langsam;2;3
311;15;leuchtend;2;2
311;15;traum;3;3
311;16;basic;2;1
311;16;rot;2;2
311;17;abendlich;3;3
311;17;traum;2;2
311;17;idyllisch;3;3
311;17;entspannend;3;3
311;17;langsam;3;3
311;17;schaukeln;2;2
311;17;meer;2;2
311;17;wellen;2;2
311;18;abstrakt;2;2
311;18;herbst;2;2
311;18;braun;2;2
311;18;verwischen;2;2
311;18;trist;3;3
311;18;dreckig;2;2
421;1;dunkel;3;3
421;1;hell-dunkel;2;3
421;1;abstrakt;1;1
421;2;idyllisch;3;3
421;2;regnerisch;3;3
421;4;erleuchtet;3;2
421;4;entspannt;3;3
421;4;inspirierend;3;3
421;4;gemütlich;3;3
421;5;düster;3;3
421;5;leer;2;2
421;5;müde;3;3
421;5;schlapp;3;3
421;5;unklar;2;2
421;6;hell;3;3
421;6;dunkel;3;3
421;6;bezaubernd;3;3
421;7;fürsorglich;3;3
421;7;herzlich;3;3
421;7;zweisam;3;3
421;7;liebevoll;3;3
421;7;lustvoll;3;3
421;8;traurig;3;3
421;8;dunkel;3;3
421;9;idyllisch;3;3
421;9;malerisch;2;2
421;9;träumerisch;3;3
421;9;hell;3;3
421;10;zweisam;3;3
421;10;gemütlich;3;3
421;10;vergnügt;3;3
421;11;kalt;3;3
421;12;kraftvoll;3;3
421;12;gelassen;2;3
421;12;erheitert;3;3
421;13;melancholisch;3;3
421;13;bedrückend;3;3
421;14;still;3;3
421;14;einsam;3;3
421;15;dunkel;3;3
421;15;erleuchtet;3;3
421;15;verspielt;3;3
421;16;optimistisch;3;3
421;17;warmherzig;3;3
421;17;tatkräftig;3;3
421;17;heiter;3;3
421;17;gütig;3;3
421;17;ermutigend;3;3
421;18;wirr;3;3
421;18;düster;3;3
421;18;abstrakt;2;2
431;1;lebendig;3;3
431;1;ruhig;3;3
431;1;angenehm;3;3
431;1;warm;3;3
431;1;hell;3;3
431;2;dunkel;2;2
431;2;ruhig;3;3
431;2;gemütlich;3;3
431;4;wunderschön;1;3
431;4;natürlich;3;3
431;4;authentisch;2;3
431;4;traumhaft;3;3
431;4;inspirierend;3;3
431;5;rätselhaft;2;3
431;5;fraglich;2;3
431;5;abstract;2;1
431;6;feinsinisch;2;1
431;6;harmonisch;3;3
431;6;präzise;2;2
431;6;echt;2;2
431;7;authentisch;2;3
431;7;gerührt;3;3
431;7;lebendig;3;2
431;8;grau;2;2
431;8;traurig;3;3
431;8;depressiv;3;3
431;8;beängstigt;3;3
431;9;angenehm;3;3
431;9;erfrischend;3;3
431;9;Bunt;3;2
431;10;farblich;2;2
431;10;harmonisch;3;3
431;10;ruhig;3;3
431;10;angenehm;3;3
431;10;freundlich;3;3
431;10;erfrischend;3;3
431;10;bezaubert;3;3
431;11;wunderschön;1;2
431;11;echt;3;3
431;11;lebendig;3;3
431;11;meditativ;3;3
431;11;angenehm;3;3
431;12;traumhaft;2;2
431;12;harmonisch;3;3
431;12;hübsch;2;2
431;12;ruhig;3;3
431;13;einzigartig;2;2
431;13;mysteriös;3;3
431;13;schön;2;2
431;13;heiß;3;3
431;14;Schön;2;2
431;14;beeindruckt;2;3
431;15;echt;2;3
431;15;angenehm;3;3
431;15;ruhig;3;3
431;15;leise;2;2
431;16;natürlich;2;2
431;16;hübsch;2;2
431;16;dunkel;3;3
431;17;wunderschön;1;2
431;17;hell;3;2
431;17;dunkel;3;3
431;17;harmonisch;3;3
431;17;lebendig;3;3
431;18;komisch;2;3
431;18;fraglich;1;3
461;1;Freundlich;3;3
461;1;geordnet;3;2
461;1;hell;3;3
461;2;bunt;2;2
461;2;glücklich;3;3
461;2;ruhig;3;3
461;2;vertraut;3;3
461;2;zusammengehörig;2;2
461;4;schön;3;3
461;4;ruhig;3;3
461;4;verträumt;3;3
461;4;friedlich;3;3
461;4;entspannt;3;3
461;5;ruhig;3;3
461;5;zwiespältig;3;3
461;5;einsam;3;3
461;6;bunt;2;2
461;6;geordnet;2;2
461;6;strukturiert;2;2
461;6;lebhaft;3;3
461;7;beruhigend;3;3
461;7;freundlich;3;3
461;7;glücklich;3;3
461;7;verträumt;3;3
461;8;verträumt;3;3
461;8;entspannt;3;3
461;8;beruhigend;3;3
461;9;glücklich;3;3
461;9;entspannt;3;3
461;9;ruhig;3;3
461;9;vertraut;3;3
461;10;vertraut;3;3
461;10;ruhig;3;3
461;10;entspannt;3;3
461;11;entspannt;3;3
461;11;ruhig;3;3
461;11;beruhigend;3;3
461;12;verträumt;3;3
461;12;nachdenklich;3;3
461;12;ruhig;3;3
461;13;ruhig;3;3
461;13;einsam;3;3
461;13;verlassen;3;3
461;14;düster;3;3
461;14;traurig;3;3
461;14;spartanisch;1;1
461;15;einsam;3;3
461;15;ruhig;3;3
461;15;dunkel;3;3
461;16;ruhig;3;3
461;16;bedrohlich;3;3
461;16;einsam;3;3
461;17;entspannt;3;3
461;17;glücklich;3;3
461;17;verträumt;3;3
461;17;beruhigend;3;3
461;18;düster;3;3
461;18;verlassen;3;3
461;18;traurig;3;3
461;18;einsam;3;3
471;1;Dorf;1;2
471;1;Markt;1;2
471;2;Reggentag;2;2
471;2;Spazieren;2;2
471;2;Herbst;2;2
471;4;Dämmerung;2;2
471;4;Ufer;2;2
471;4;Frieden;3;3
471;4;Fischer;2;2
471;5;Herbst;2;2
471;5;Traurig;3;3
471;5;Tot;2;2
471;6;Zellen;2;2
471;6;Leben;2;2
471;7;Frühling;2;1
471;7;Liebe;3;3
471;7;Frieden;3;3
471;7;Romantisch;3;3
471;7;Pe;1;1
471;7;Picknick;2;2
471;8;Licht;1;2
471;8;Vorhang;1;2
471;8;Fest;1;2
471;9;Herbst;2;2
471;9;Regen;2;2
471;9;nass;2;2
471;10;Herbst;2;2
471;10;Spazieren;2;2
471;10;Romantisch;3;3
471;10;Liebe;3;3
471;10;Kalt;3;3
471;10;Vergänglich;2;3
471;11;Land;2;2
471;11;Natur;1;2
471;11;Frieden;3;3
471;11;Bauernhof;1;2
471;12;Japan;2;2
471;12;Mädchen;2;2
471;12;Bund;1;1
471;12;Manga;1;2
471;13;Wüste;2;2
471;13;Kunst;1;1
471;13;Lost;1;1
471;14;Stadt;2;2
471;14;Japan;1;2
471;14;Tokio;1;2
471;14;Geschäfte;1;2
471;14;Streetfood;1;2
471;15;Nacht;2;2
471;15;Herbst;2;2
471;15;Straße;2;2
471;15;Regen;2;2
471;15;Licht;2;2
471;15;Boulevard;2;1
471;16;Berg;1;2
471;16;Rot;2;2
471;17;Meer;2;2
471;17;Dämmerung;2;2
471;17;segeln;2;2
471;17;Freiheit;3;3
471;18;Kunst;1;1
471;18;Lutscher;2;2
501;1;Fröhsinn;3;3
501;2;verträumt;3;3
501;4;Urlaub;2;2
501;5;Wandern;2;2
501;6;verrückt;3;3
501;7;Trauer;3;3
501;8;ruhig;3;3
501;9;Herbstlich;3;3
501;10;Liebe;3;3
501;11;Urlaub;2;2
501;12;schönheit;2;2
501;13;einsam;3;3
501;14;steril;2;2
501;15;leichtigkeit;2;3
501;16;einfälltig;3;2
501;17;Ruhe;3;3
501;18;hässlich;2;2
511;1;dunkel;3;3
511;1;hell;3;3
511;1;eckig;2;2
511;1;inhomogen;2;2
511;2;bunt;2;2
511;2;dunkel;2;2
511;2;entspannt;3;3
511;4;entspannend;3;3
511;4;ruhig;3;3
511;4;idyllisch;3;3
511;4;warm;3;3
511;5;einsam;3;3
511;5;ruhig;3;3
511;6;bunt;2;2
511;6;fröhlich;3;3
511;6;hoffungsvoll;3;3
511;7;hoffnungsvoll;3;3
511;7;traurig;3;3
511;8;unsicher;3;3
511;8;harmonisch;3;3
511;8;hell;3;3
511;9;ruhig;3;3
511;9;entspannend;3;3
511;9;bunt;3;2
511;9;idyllisch;3;3
511;9;herbstlich;3;3
511;9;kalt;2;2
511;10;herbstlich;3;3
511;10;friedlich;3;3
511;10;kalt;3;3
511;10;bunt;3;2
511;11;kalt;3;3
511;11;einsam;3;3
511;11;entspannend;3;3
511;11;ruhig;3;3
511;12;traurig;3;3
511;12;grell;2;3
